26475.0,17899.0,13291.0,10116.0,8028.0,6785.0,5988.0,14066.9,13330.8,10898.4,9520.75,8466.06,7591.55,6007.32,3707.67,4048.82,3879.47,3670.38,3815.66,4885.76
26474,17904,13293,10111,8029,6786,5989,14053.7,13302.2,10878.7,9505.37,8499.02,7576.17,6031.49,3707.67,4061.1,3879.47,3677.27,3813.21,4858.77
26474,17904,13293,10111,8029,6786,5989,14053.7,13302.2,10878.7,9505.37,8499.02,7576.17,6031.49,3692.94,4051.28,3869.66,3679.12,3820.57,4853.86
26477,17909,13314,10121,8026,6786,5990,14038.3,13260.5,10830.3,9468.02,8525.39,7556.4,6020.51,3700.3,4041.46,3857.38,3686.77,3815.66,4846.49
26477,17909,13314,10121,8026,6786,5990,14038.3,13260.5,10830.3,9468.02,8525.39,7556.4,6020.51,3695.4,4034.1,3852.48,3687.54,3815.66,4824.41
26474,17909,13294,10116,8024,6786,5991,14027.3,13227.5,10856.7,9483.4,8503.42,7554.2,5994.14,3685.58,4046.37,3850.02,3693.88,3810.75,4841.59
26474,17909,13294,10116,8024,6786,5991,14027.3,13227.5,10856.7,9483.4,8503.42,7554.2,5994.14,3683.12,4046.37,3847.57,3699.52,3810.75,4836.68
26475,17906,13315,10116,8023,6787,5992,14020.8,13214.4,10797.4,9472.41,8468.26,7565.19,5926.03,3688.03,4036.55,3842.66,3698.02,3810.75,4812.13
26475,17906,13315,10116,8023,6787,5992,14020.8,13214.4,10797.4,9472.41,8468.26,7565.19,5926.03,3678.22,4024.28,3845.11,3694.26,3808.3,4794.95
26475,17911,13297,10121,8023,6787,5992,14005.4,13214.4,10817.1,9487.79,8419.92,7569.58,5855.71,3675.76,4024.28,3847.57,3689.74,3800.93,4792.5
26475,17911,13297,10121,8023,6787,5992,14005.4,13214.4,10817.1,9487.79,8419.92,7569.58,5855.71,3668.4,4029.19,3852.48,3696.2,3805.84,4804.77
26474,17915,13295,10114,8022,6786,5994,14009.8,13223.1,10799.6,9496.58,8373.78,7562.99,5824.95,3665.94,4029.19,3847.57,3689.28,3808.3,4817.04
26474,17915,13295,10114,8022,6786,5994,14009.8,13223.1,10799.6,9496.58,8373.78,7562.99,5824.95,3653.67,4024.28,3864.75,3695.39,3815.66,4844.04
26476,17912,13311,10118,8024,6785,5998,14005.4,13203.4,10753.4,9500.98,8338.62,7558.59,5827.15,3663.49,4009.56,3867.2,3685.69,3813.21,4861.22
26476,17912,13311,10118,8024,6785,5998,14005.4,13203.4,10753.4,9500.98,8338.62,7558.59,5827.15,3658.58,4007.1,3877.02,3695.01,3818.11,4883.31
26477,17909,13291,10111,8026,6785,5999,13998.8,13194.6,10790.8,9522.95,8288.09,7543.21,5906.25,3663.49,4014.46,3884.38,3685.9,3815.66,4873.49
26477,17909,13291,10111,8026,6785,5999,13998.8,13194.6,10790.8,9522.95,8288.09,7543.21,5906.25,3656.13,4014.46,3884.38,3692.59,3823.02,4883.31
26474,17904,13317,10112,8026,6785,6000,14003.2,13190.2,10753.4,9518.55,8266.11,7543.21,5950.2,3653.67,4009.56,3896.65,3686.34,3813.21,4912.76
26474,17904,13317,10112,8026,6785,6000,14003.2,13190.2,10753.4,9518.55,8266.11,7543.21,5950.2,3663.49,3992.37,3894.2,3686.85,3813.21,4905.4
