19490.0	10366.0	5222.0	2588.0	2043.0	2394.0	2287.0	16527.83	21548.6	20632.4	15400.63	14341.55	9353.75	6501.7	1491.37	3000.81	3020.44	7230.75	6014.77	3560.41
19486	10363	5224	2594	2050	2394	2289	16530.03	21535.4	20608.199999999997	15314.939999999999	14326.17	9358.15	6563.23	1498.74	3000.81	3116.16	7245.09	6014.77	3577.59
19486	10362	5227	2596	2051	2395	2288	16543.21	21555.2	20564.2	15398.439999999999	14374.51	9377.93	6558.84	1496.28	2983.63	3177.52	7248.23	6012.32	3594.77
19486	10365	5228	2594	2050	2397	2288	16565.190000000002	21566.2	20548.800000000003	15446.78	14416.259999999998	9406.5	6413.81	1498.74	2988.54	3172.62	7241.76	6009.87	3550.59
19486	10369	5227	2593	2052	2396	2289	16573.97	21570.6	20555.4	15453.37	14407.47	9395.509999999998	6532.47	1501.19	2981.17	3113.71	7251.32	6022.14	3572.68
19485	10367	5229	2577	2048	2395	2290	16593.75	21570.6	20621.4	15558.84	14312.98	9338.369999999999	6536.86	1498.74	2976.27	3111.26	7256.83	5997.59	3570.22
19485	10366	5230	2580	2046	2395	2290	16595.949999999997	21616.7	20663.1	15679.68	14286.62	9268.07	6459.96	1493.83	2976.27	2990.99	7258.4	6012.32	3550.59
19485	10366	5228	2584	2048	2396	2291	16593.75	21656.2	20689.4	15615.97	14352.54	9268.07	6400.63	1479.1	2971.36	3020.44	7247.02	5987.78	3589.86
19485	10361	5227	2580	2050	2397	2292	16589.35	21704.6	20634.5	15637.939999999999	14398.68	9364.75	6459.969999999999	1479.1	2963.99	3135.8	7242.48	6009.87	3594.77
19484	10353	5224	2586	2050	2395	2293	16565.190000000002	21757.300000000003	20625.699999999997	15512.69	14455.81	9408.689999999999	6506.1	1484.01	2966.45	2990.99	7237.15	6022.14	3577.59
19485	10348	5220	2590	2050	2394	2292	16534.42	21761.699999999997	20687.199999999997	15521.49	14416.26	9344.97	6512.700000000001	1488.92	2944.36	2946.81	7229.46	6014.77	3611.95
19486	10348	5223	2593	2048	2394	2293	16530.03	21717.8	20680.6	15440.189999999999	14374.52	9279.060000000001	6495.12	1491.37	2976.27	3020.44	7234.83	6046.68	3575.13
19484	10349	5225	2587	2049	2396	2294	16534.43	21640.8	20667.4	15552.25	14409.66	9312.01	6563.23	1491.37	2971.36	3182.43	7230.75	6009.87	3589.86
19482	10351	5225	2579	2051	2396	2294	16538.809999999998	21583.8	20630.199999999997	15653.32	14482.18	9388.92	6561.04	1501.19	2944.36	3108.8	7239.81	6044.23	3523.59
19486	10356	5232	2573	2052	2396	2294	16552.0	21592.5	20597.1	15697.259999999998	14473.39	9369.14	6506.1	1486.46	2941.9	3052.35	7242.9	6004.96	3562.86
19486	10359	5231	2572	2049	2393	2294	16560.79	21627.7	20577.300000000003	15692.88	14440.42	9281.26	6466.55	1498.74	2937.0	3084.26	7258.82	6027.05	3543.23
19485	10358	5229	2570	2045	2394	2296	16567.379999999997	21629.9	20649.9	15657.72	14431.64	9268.07	6558.84	1486.46	2914.91	3025.35	7258.6	6019.68	3567.77
19485	10357	5228	2577	2049	2395	2297	16573.97	21621.1	20667.5	15594.0	14326.17	9371.34	6576.42	1503.64	2924.72	2986.08	7259.14	6017.23	3577.59
19487	10359	5230	2584	2049	2396	2296	16571.78	21603.6	20693.9	15462.16	14308.6	9470.22	6563.24	1474.19	2929.63	2986.08	7261.44	6002.5	3589.86
19485	10360	5228	2586	2055	2396	2298	16562.98	21557.4	20652.1	15453.37	14328.37	9421.880000000001	6554.44	1501.19	2932.09	3062.17	7259.06	6022.14	3535.86
19485	10360	5228	2587	2059	2395	2298	16573.98	21575.0	20621.300000000003	15561.04	14323.98	9349.36	6536.870000000001	1479.1	2917.36	3150.53	7257.37	5987.78	3607.04
19482	10358	5227	2587	2060	2396	2297	16587.16	21634.199999999997	20621.300000000003	15547.86	14367.92	9296.630000000001	6506.11	1491.37	2924.72	3135.8	7247.14	6024.59	3526.04
19486	10359	5226	2580	2058	2397	2296	16595.95	21700.2	20665.3	15488.53	14330.57	9342.77	6400.63	1476.65	2919.82	3098.98	7252.56	6004.96	3609.49
19486	10355	5227	2575	2054	2397	2300	16598.14	21684.8	20702.7	15558.83	14293.21	9413.09	6464.35	1496.28	2941.9	3013.08	7248.65	6036.86	3609.49
19485	10352	5224	2578	2056	2397	2300	16600.34	21676.0	20812.5	15611.58	14269.04	9391.119999999999	6503.9	1479.1	2939.45	3042.53	7248.96	5997.59	3557.95
19485	10349	5220	2588	2054	2396	2299	16606.94	21671.6	20841.1	15624.76	14354.740000000002	9283.45	6495.12	1491.37	2924.72	2912.45	7251.13	6019.68	3570.22
19485	10347	5219	2587	2055	2398	2299	16609.129999999997	21720.0	20825.699999999997	15618.170000000002	14387.689999999999	9263.68	6328.12	1476.65	2939.45	3062.17	7258.42	5995.14	3584.95
19487	10352	5217	2586	2056	2401	2302	16606.93	21766.1	20819.1	15569.82	14387.689999999999	9349.369999999999	6453.370000000001	1486.46	2937.0	3116.16	7258.5	6012.32	3550.59
19486	10353	5214	2586	2053	2400	2302	16600.339999999997	21781.5	20847.699999999997	15506.1	14341.560000000001	9395.51	6440.19	1486.46	2944.36	3008.17	7256.92	6007.41	3570.22
